subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,pca_mlp,0,relative_acc,cloud_fraction,1.2188016176223755,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,u,3.481696605682373,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,v,1.256123661994934,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,asr,1.0042335987091064,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,0,relative_acc,olr,1.142863392829895,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,surface_temperature,1.1987762451171875,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,temperature,1.150805950164795,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,specific_humidity_dex,0.9785920977592468,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,cloud_fraction,0.3829227387905121,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,u,1.0261175632476807,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,v,0.9197996854782104,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,asr,1.2380318641662598,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_rmse,olr,0.9140925407409668,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,surface_temperature,1.0470179319381714,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,temperature,4.181007385253906,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,specific_humidity_dex,1.2635712623596191,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,cloud_fraction,1.276014804840088,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,u,3.5665485858917236,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,v,1.3027371168136597,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,asr,1.0045443773269653,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,0,relative_acc,olr,1.133970022201538,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,ppca_icm,0,relative_rmse,surface_temperature,0.8617866635322571,results/models/multi-partial/ppca_icm/metrics_shared_planets.json,results/models/multi-partial/ppca_icm/predictions_shared_planets.npz,results/models/multi-partial/ppca_icm/config.json
multi-partial,shared_planets,ppca_icm,0,relative_rmse,temperature,0.8283588886260986,results/models/multi-partial/ppca_icm/metrics_shared_planets.json,results/models/multi-partial/ppca_icm/predictions_shared_planets.npz,results/models/multi-partial/ppca_icm/config.json
multi-partial,shared_planets,ppca_icm,0,relative_rmse,specific_humidity_dex,0.7412847876548767,results/models/multi-partial/ppca_icm/metrics_shared_planets.json,results/models/multi-partial/ppca_icm/predictions_shared_planets.npz,results/models/multi-partial/ppca_icm/config.json
multi-partial,shared_planets,ppca_icm,0,relative_rmse,cloud_fraction,0.38194742798805237,results/models/multi-partial/ppca_icm/metrics_shared_planets.json,results/models/multi-partial/ppca_icm/predictions_shared_planets.npz,results/models/multi-partial/ppca_icm/config.json
multi-partial,shared_planets,ppca_icm,0,relative_rmse,u,0.7981376051902771,results/models/multi-partial/ppca_icm/metrics_shared_planets.json,results/models/multi-partial/ppca_icm/predictions_shared_planets.npz,results/models/multi-partial/ppca_icm/config.json
